TIMESTAMP;DEPTH;ID;URL;DOMAIN;PRODUCT;DATASET_TOTAL;DOMAIN_COUNTRY;IP_COUNTRY;ROOT_DOMAIN
2019-01-04 16:51:31.471911;DEPTH0;URL26131;http://gisdatacatalog-spokanecounty.opendata.arcgis.com;https://gisdatacatalog-spokanecounty.opendata.arcgis.com/;ARCGIS;38;(not available);United States;gisdatacatalog-spokanecounty.opendata.arcgis.com
2019-01-04 16:50:29.614559;DEPTH0;URL26116;http://gisdata-cc-gis.opendata.arcgis.com;http://gisdata-cc-gis.opendata.arcgis.com;ARCGIS;121;(not available);United States;gisdata-cc-gis.opendata.arcgis.com
2019-01-04 16:50:34.161277;DEPTH0;URL26117;http://gisdata-centrecountygov.opendata.arcgis.com;http://gisdata-centrecountygov.opendata.arcgis.com;ARCGIS;86;(not available);United States;gisdata-centrecountygov.opendata.arcgis.com
2019-01-04 16:50:38.457988;DEPTH0;URL26118;http://gisdata-cityofstafford.opendata.arcgis.com;http://gisdata-cityofstafford.opendata.arcgis.com;ARCGIS;93;(not available);United States;gisdata-cityofstafford.opendata.arcgis.com
2019-01-04 16:50:41.911014;DEPTH0;URL26119;http://gisdata-helenamtmaps.opendata.arcgis.com;http://gisdata-helenamtmaps.opendata.arcgis.com;ARCGIS;41;(not available);United States;gisdata-helenamtmaps.opendata.arcgis.com
2019-01-04 16:50:44.801597;DEPTH0;URL26120;http://gisdata-nlcmaps.opendata.arcgis.com;http://gisdata-nlcmaps.opendata.arcgis.com;ARCGIS;20;(not available);United States;gisdata-nlcmaps.opendata.arcgis.com
2019-01-04 16:50:52.754482;DEPTH0;URL26121;http://gisdata-piercecowa.opendata.arcgis.com;http://gisdata-piercecowa.opendata.arcgis.com;ARCGIS;201;(not available);United States;gisdata-piercecowa.opendata.arcgis.com
2019-01-04 16:50:56.973081;DEPTH0;URL26122;http://gisdata-pwcgov.opendata.arcgis.com;http://gisdata-pwcgov.opendata.arcgis.com;ARCGIS;67;(not available);United States;gisdata-pwcgov.opendata.arcgis.com
2019-01-04 16:50:59.676028;DEPTH0;URL26123;http://gisdata-rowancountync.opendata.arcgis.com;http://gisdata-rowancountync.opendata.arcgis.com;ARCGIS;2;(not available);United States;gisdata-rowancountync.opendata.arcgis.com
2019-01-04 16:51:03.519661;DEPTH0;URL26124;http://gisdata-scag.opendata.arcgis.com;http://gisdata-scag.opendata.arcgis.com;ARCGIS;37;(not available);United States;gisdata-scag.opendata.arcgis.com
2019-01-04 16:51:07.066470;DEPTH0;URL26125;http://gisdata-slco.opendata.arcgis.com;https://gisdata-slco.opendata.arcgis.com/;ARCGIS;5;(not available);United States;gisdata-slco.opendata.arcgis.com
2019-01-04 16:51:13.863120;DEPTH0;URL26127;http://gisdata-thurston.opendata.arcgis.com;http://gisdata-thurston.opendata.arcgis.com;ARCGIS;49;(not available);United States;gisdata-thurston.opendata.arcgis.com
2019-01-04 16:51:16.941196;DEPTH0;URL26128;http://gisdata-uncadmin.opendata.arcgis.com;http://gisdata-uncadmin.opendata.arcgis.com;ARCGIS;2;(not available);United States;gisdata-uncadmin.opendata.arcgis.com
2019-01-04 16:51:23.456476;DEPTH0;URL26129;http://gisdata-wsdot.opendata.arcgis.com;http://gisdata-wsdot.opendata.arcgis.com;ARCGIS;129;(not available);United States;gisdata-wsdot.opendata.arcgis.com
2019-01-04 16:47:30.229940;DEPTH0;URL26075;http://gis-dougco.opendata.arcgis.com;https://gis-dougco.opendata.arcgis.com/;ARCGIS;89;(not available);United States;gis-dougco.opendata.arcgis.com
2019-01-04 16:47:39.620309;DEPTH0;URL26077;http://gis-durhamnc.opendata.arcgis.com;http://gis-durhamnc.opendata.arcgis.com;ARCGIS;9;(not available);United States;gis-durhamnc.opendata.arcgis.com
2019-01-04 16:47:42.323356;DEPTH0;URL26078;http://gis-fcc.opendata.arcgis.com;http://gis-fcc.opendata.arcgis.com;ARCGIS;11;(not available);United States;gis-fcc.opendata.arcgis.com
2019-01-04 16:47:52.291747;DEPTH0;URL26080;http://gis-fdot.opendata.arcgis.com;https://gis-fdot.opendata.arcgis.com/;ARCGIS;51;(not available);United States;gis-fdot.opendata.arcgis.com
2019-01-04 16:47:58.557193;DEPTH0;URL26082;http://gis-grey.opendata.arcgis.com;http://gis-grey.opendata.arcgis.com;ARCGIS;11;(not available);United States;gis-grey.opendata.arcgis.com
2019-01-04 16:48:01.791474;DEPTH0;URL26083;http://gis-hendersonnv.opendata.arcgis.com;http://gis-hendersonnv.opendata.arcgis.com;ARCGIS;35;(not available);United States;gis-hendersonnv.opendata.arcgis.com
2019-01-04 16:48:06.666219;DEPTH0;URL26084;http://gis-hennepin.opendata.arcgis.com;http://gis-hennepin.opendata.arcgis.com;ARCGIS;47;(not available);United States;gis-hennepin.opendata.arcgis.com
2019-01-04 16:51:38.456023;DEPTH0;URL26133;http://gishub-gimsoh29.opendata.arcgis.com;http://gishub-gimsoh29.opendata.arcgis.com;ARCGIS;28;(not available);United States;gishub-gimsoh29.opendata.arcgis.com
2019-01-04 16:48:14.931684;DEPTH0;URL26085;http://gis-kingcounty.opendata.arcgis.com;https://gis-kingcounty.opendata.arcgis.com/;ARCGIS;487;(not available);United States;gis-kingcounty.opendata.arcgis.com
2019-01-04 16:48:26.837419;DEPTH0;URL26087;http://gis-mclio.opendata.arcgis.com;http://gis-mclio.opendata.arcgis.com;ARCGIS;68;(not available);United States;gis-mclio.opendata.arcgis.com
2019-01-04 16:48:37.087178;DEPTH0;URL26088;http://gis-mdc.opendata.arcgis.com;http://gis-mdc.opendata.arcgis.com;ARCGIS;371;(not available);United States;gis-mdc.opendata.arcgis.com
2019-01-04 16:48:41.368210;DEPTH0;URL26089;http://gis-mdot.opendata.arcgis.com;http://gis-mdot.opendata.arcgis.com;ARCGIS;68;(not available);United States;gis-mdot.opendata.arcgis.com
2019-01-04 16:48:44.711896;DEPTH0;URL26090;http://gis-mdt.opendata.arcgis.com;http://gis-mdt.opendata.arcgis.com;ARCGIS;28;(not available);United States;gis-mdt.opendata.arcgis.com
2019-01-04 16:48:53.274067;DEPTH0;URL26091;http://gis-michigan.opendata.arcgis.com;http://gis-michigan.opendata.arcgis.com;ARCGIS;69;(not available);United States;gis-michigan.opendata.arcgis.com
2019-01-04 16:48:58.977026;DEPTH0;URL26092;http://gis-midnr.opendata.arcgis.com;http://gis-midnr.opendata.arcgis.com;ARCGIS;210;(not available);United States;gis-midnr.opendata.arcgis.com
2019-01-04 16:49:04.852060;DEPTH0;URL26093;http://gis-monomammoth.opendata.arcgis.com;https://gis-monomammoth.opendata.arcgis.com/;ARCGIS;157;(not available);United States;gis-monomammoth.opendata.arcgis.com
2019-01-04 16:49:14.085850;DEPTH0;URL26095;http://gis-mtfwp.opendata.arcgis.com;http://gis-mtfwp.opendata.arcgis.com;ARCGIS;188;(not available);United States;gis-mtfwp.opendata.arcgis.com
2019-01-04 16:49:17.351394;DEPTH0;URL26096;http://gis-nct.opendata.arcgis.com;http://gis-nct.opendata.arcgis.com;ARCGIS;10;(not available);United States;gis-nct.opendata.arcgis.com
2019-01-04 16:49:20.835691;DEPTH0;URL26097;http://gis-okdot.opendata.arcgis.com;http://gis-okdot.opendata.arcgis.com;ARCGIS;75;(not available);United States;gis-okdot.opendata.arcgis.com
2019-01-04 17:45:07.285669;DEPTH0;URL221828;http://gisopendata.marincounty.org;http://gisopendata.marincounty.org;ARCGIS;124;(not available);United States;gisopendata.marincounty.org
2019-01-04 17:46:09.127214;DEPTH0;URL235876;http://gisopendata.siouxfalls.org;http://gisopendata.siouxfalls.org;ARCGIS;102;(not available);United States;gisopendata.siouxfalls.org
